absolute_rank,transformed_feature,feature,coefficient,absolute_coefficient,odds_ratio,direction
103,numeric__installment_count,installment_count,-0.13443316160885196,0.13443316160885196,0.8742113078012396,Lower risk
104,categorical__NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Civil marriage,0.1301014072303834,0.1301014072303834,1.1389438746125837,Higher risk
105,numeric__REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT_W_CITY,0.12976350835830142,0.12976350835830142,1.1385590917744919,Higher risk
106,categorical__OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE_Core staff,-0.12806866672375172,0.12806866672375172,0.8797929645699752,Lower risk
107,categorical__NAME_TYPE_SUITE_Group of people,NAME_TYPE_SUITE_Group of people,-0.1264475184032504,0.1264475184032504,0.8812203961834362,Lower risk
108,numeric__installment_mean_payment,installment_mean_payment,-0.12635791097409313,0.12635791097409313,0.8812993636156405,Lower risk
109,categorical__NAME_TYPE_SUITE_Other_A,NAME_TYPE_SUITE_Other_A,-0.12322901189275726,0.12322901189275726,0.884061178852235,Lower risk
110,categorical__ORGANIZATION_TYPE_Housing,ORGANIZATION_TYPE_Housing,0.12293716465162173,0.12293716465162173,1.1308133636634015,Higher risk
111,categorical__ORGANIZATION_TYPE_Electricity,ORGANIZATION_TYPE_Electricity,0.11947664231427163,0.11947664231427163,1.1269069218220686,Higher risk
112,numeric__FLAG_DOCUMENT_6,FLAG_DOCUMENT_6,0.11867041622031879,0.11867041622031879,1.1259987462028735,Higher risk
113,categorical__FONDKAPREMONT_MODE_reg oper spec account,FONDKAPREMONT_MODE_reg oper spec account,-0.11834336130539058,0.11834336130539058,0.8883909611591938,Lower risk
114,categorical__ORGANIZATION_TYPE_Bank,ORGANIZATION_TYPE_Bank,-0.11824216481001852,0.11824216481001852,0.8884808677600231,Lower risk
115,categorical__ORGANIZATION_TYPE_Kindergarten,ORGANIZATION_TYPE_Kindergarten,0.11277983540336757,0.11277983540336757,1.1193854567693515,Higher risk
116,categorical__ORGANIZATION_TYPE_Industry: type 13,ORGANIZATION_TYPE_Industry: type 13,0.11267328963155204,0.11267328963155204,1.119266197335308,Higher risk
117,categorical__FLAG_OWN_REALTY_N,FLAG_OWN_REALTY_N,-0.11237500526043898,0.11237500526043898,0.8937090490571225,Lower risk
118,numeric__COMMONAREA_AVG,COMMONAREA_AVG,0.11028084555684553,0.11028084555684553,1.1165916162220701,Higher risk
119,categorical__EMERGENCYSTATE_MODE_No,EMERGENCYSTATE_MODE_No,-0.10827462457943432,0.10827462457943432,0.8973811196751132,Lower risk
120,categorical__OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_Drivers,0.10735100279806054,0.10735100279806054,1.113324966083127,Higher risk
121,categorical__OCCUPATION_TYPE_Secretaries,OCCUPATION_TYPE_Secretaries,0.10598481491880593,0.10598481491880593,1.1118049935292478,Higher risk
122,categorical__ORGANIZATION_TYPE_Industry: type 6,ORGANIZATION_TYPE_Industry: type 6,-0.1038595042117017,0.1038595042117017,0.90135192467489,Lower risk
123,categorical__EMERGENCYSTATE_MODE_Yes,EMERGENCYSTATE_MODE_Yes,-0.10228127159073723,0.10228127159073723,0.9027755908280554,Lower risk
124,categorical__OCCUPATION_TYPE_Private service staff,OCCUPATION_TYPE_Private service staff,-0.1013373166991598,0.1013373166991598,0.903628172599073,Lower risk
125,numeric__NONLIVINGAPARTMENTS_MEDI,NONLIVINGAPARTMENTS_MEDI,-0.10049339671008811,0.10049339671008811,0.9043910843495768,Lower risk
126,categorical__FLAG_OWN_REALTY_Y,FLAG_OWN_REALTY_Y,-0.09818089083492951,0.09818089083492951,0.906484914109292,Lower risk
127,numeric__LIVINGAPARTMENTS_MODE,LIVINGAPARTMENTS_MODE,-0.09747561602184764,0.09747561602184764,0.9071244605891541,Lower risk
128,categorical__ORGANIZATION_TYPE_Other,ORGANIZATION_TYPE_Other,0.09739663345341731,0.09739663345341731,1.102297494988932,Higher risk
129,categorical__OCCUPATION_TYPE_Waiters/barmen staff,OCCUPATION_TYPE_Waiters/barmen staff,0.0973152559116026,0.0973152559116026,1.1022077963782169,Higher risk
130,categorical__CODE_GENDER_F,CODE_GENDER_F,-0.09717835144754888,0.09717835144754888,0.9073941566393219,Lower risk
131,categorical__ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Services,0.09715809416099022,0.09715809416099022,1.1020345850828512,Higher risk
132,numeric__installment_total_payment,installment_total_payment,-0.0965497306822574,0.0965497306822574,0.9079647427708453,Lower risk
133,categorical__ORGANIZATION_TYPE_Industry: type 2,ORGANIZATION_TYPE_Industry: type 2,0.09462410392265878,0.09462410392265878,1.099245575356036,Higher risk
134,categorical__ORGANIZATION_TYPE_Medicine,ORGANIZATION_TYPE_Medicine,0.0918592158328811,0.0918592158328811,1.096210482137047,Higher risk
135,categorical__OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_High skill tech staff,-0.09173281345637145,0.09173281345637145,0.9123488843273002,Lower risk
136,numeric__credit_card_mean_utilization,credit_card_mean_utilization,0.09023981345803879,0.09023981345803879,1.0944367128896502,Higher risk
137,categorical__NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_Rented apartment,0.08971366754042784,0.08971366754042784,1.093861030940714,Higher risk
138,numeric__prev_approval_rate,prev_approval_rate,-0.08970654143500738,0.08970654143500738,0.9141994255621403,Lower risk
139,numeric__prev_refused_count,prev_refused_count,0.08911989495326825,0.08911989495326825,1.0932117190372608,Higher risk
140,numeric__bureau_total_credit_sum,bureau_total_credit_sum,0.08733388841123074,0.08733388841123074,1.0912609782916374,Higher risk
141,categorical__ORGANIZATION_TYPE_Government,ORGANIZATION_TYPE_Government,0.08683337812693756,0.08683337812693756,1.090714927612544,Higher risk
